,all_match,all_win,all_draw,all_loss,score
ADVANC,52,29,3,20,90
AOT,52,20,7,25,67
AWC,52,21,1,30,64
BANPU,52,20,5,27,65
BBL,52,18,4,30,58
BDMS,52,18,7,27,61
BEM,52,21,8,23,71
BGRIM,52,23,3,26,72
BH,52,26,6,20,84
BJC,52,23,2,27,71
BTS,52,19,4,29,61
CBG,52,24,3,25,75
CCET,52,27,1,24,82
COM7,52,21,2,29,65
CPALL,52,24,4,24,76
CPF,52,28,7,17,91
CPN,52,16,6,30,54
CRC,52,25,3,24,78
DELTA,52,31,2,19,95
EGCO,52,22,2,28,68
GLOBAL,52,20,4,28,64
GPSC,52,22,2,28,68
GULF,52,29,4,19,91
HMPRO,52,21,4,27,67
INTUCH,52,24,5,23,77
ITC,52,24,1,27,73
IVL,52,23,3,26,72
KBANK,52,28,5,19,89
KTB,52,22,4,26,70
KTC,52,24,7,21,79
LH,52,17,8,27,59
MINT,52,26,4,22,82
MTC,52,26,3,23,81
OR,52,21,3,28,66
OSP,52,18,3,31,57
PTT,52,17,11,24,62
PTTEP,52,24,0,28,72
PTTGC,52,19,3,30,60
RATCH,52,17,8,27,59
SAWAD,52,25,4,23,79
SCB,52,25,7,20,82
SCC,52,17,4,31,55
SCGP,52,18,3,31,57
TISCO,52,24,8,20,80
TLI,52,22,5,25,71
TOP,52,23,4,25,73
TRUE,52,31,5,16,98
TTB,52,20,9,23,69
TU,52,21,8,23,71
WHA,52,28,5,19,89
